timestamps,TP9,AF7,AF8,TP10,Right AUX
1741723276.922,-17.090,-26.367,-37.109,-17.090,0.000
1741723276.926,-33.203,6.836,-26.367,-11.230,0.000
1741723276.930,0.488,13.672,-10.742,0.977,0.000
1741723276.933,37.598,-24.414,-8.301,18.066,0.000
1741723276.937,19.043,-30.273,-1.953,20.996,0.000
1741723276.941,-16.602,60.059,0.488,1.465,0.000
1741723276.945,-20.996,-34.180,-22.461,-12.207,0.000
1741723276.949,7.324,-91.797,-24.902,3.418,0.000
1741723276.953,24.902,55.664,-4.395,25.391,0.000
1741723276.957,0.000,55.664,-0.977,15.625,0.000
1741723276.961,-34.180,-7.324,-12.207,-17.090,0.000
1741723276.965,-13.672,-58.105,-16.602,-12.207,0.000
1741723276.969,12.207,-17.578,-28.320,3.418,0.000
1741723276.972,-6.348,42.969,-21.484,-1.465,0.000
1741723276.976,-29.297,-4.883,-13.672,-10.254,0.000
1741723276.980,-4.883,-53.711,-20.020,-5.859,0.000
1741723276.984,29.785,5.371,-15.137,14.160,0.000
1741723276.988,9.277,68.848,-12.207,14.648,0.000
1741723276.992,-20.020,-59.570,-20.020,7.324,0.000
1741723276.996,15.137,-32.715,5.371,30.273,0.000
1741723277.000,31.250,34.668,14.160,31.250,0.000
1741723277.004,-3.906,28.809,-11.719,8.301,0.000
1741723277.008,-48.340,9.277,-24.902,-15.137,0.000
1741723277.011,-59.082,-96.191,-25.391,-26.367,0.000
1741723277.015,-6.836,20.996,-12.695,-7.812,0.000
1741723277.019,1.465,32.715,-8.301,-1.465,0.000
1741723277.023,-34.180,-47.852,-15.137,-17.578,0.000
1741723277.027,-42.480,-50.293,-28.809,-27.344,0.000
1741723277.031,-9.277,-22.949,-31.738,-13.184,0.000
1741723277.035,28.320,130.371,-2.441,12.207,0.000
1741723277.039,-11.719,19.043,-9.766,-7.812,0.000
1741723277.043,-40.527,-143.555,-26.855,-24.414,0.000
1741723277.047,-0.488,-48.828,-23.926,-6.836,0.000
1741723277.051,20.508,31.250,-19.043,-2.930,0.000
1741723277.054,-6.836,67.871,-4.395,-11.719,0.000
1741723277.058,-38.574,-12.695,0.977,-25.391,0.000
1741723277.062,-18.066,-62.500,-3.906,-16.602,0.000
1741723277.066,11.719,65.918,-17.578,-6.836,0.000
1741723277.070,8.301,96.680,-7.812,-1.465,0.000
