timestamps,TP9,AF7,AF8,TP10,Right AUX
1741724765.916,-1000.000,-1000.000,453.125,-1000.000,0.000
1741724765.920,-1000.000,-1000.000,6.836,-1000.000,0.000
1741724765.924,-1000.000,-1000.000,-169.922,-1000.000,0.000
1741724765.928,-1000.000,-1000.000,-269.531,-1000.000,0.000
1741724765.931,-1000.000,-1000.000,-400.391,-1000.000,0.000
1741724765.935,-1000.000,-1000.000,-633.301,-1000.000,0.000
1741724765.939,-1000.000,-1000.000,-789.062,-1000.000,0.000
1741724765.943,-1000.000,-982.422,-610.352,-1000.000,0.000
1741724765.947,-937.500,-967.285,-480.957,-937.988,0.000
1741724765.951,-1000.000,-1000.000,-621.582,-1000.000,0.000
1741724765.955,-219.727,65.918,-612.793,-210.938,0.000
1741724765.959,999.512,999.512,-354.492,999.512,0.000
1741724765.963,953.613,918.945,-167.969,952.637,0.000
1741724765.967,942.871,963.379,44.922,943.848,0.000
1741724765.971,976.562,971.680,90.820,977.051,0.000
1741724765.974,969.727,970.215,-243.164,970.215,0.000
1741724765.978,969.727,970.215,-212.402,970.703,0.000
1741724765.982,969.727,970.703,193.848,970.215,0.000
1741724765.986,970.215,970.703,366.211,970.215,0.000
1741724765.990,969.727,970.703,50.293,970.703,0.000
1741724765.994,969.727,970.703,153.320,970.703,0.000
1741724765.998,969.727,970.215,736.816,970.215,0.000
1741724766.002,975.586,983.398,981.934,970.215,0.000
1741724766.006,945.312,918.457,892.090,984.375,0.000
1741724766.010,948.242,999.512,515.137,903.320,0.000
1741724766.013,999.512,843.750,499.023,999.512,0.000
1741724766.017,-179.688,-544.922,513.672,627.441,0.000
1741724766.021,-1000.000,-1000.000,396.484,-797.363,0.000
1741724766.025,-941.895,-934.082,478.027,-1000.000,0.000
1741724766.029,-998.535,-1000.000,490.234,-941.895,0.000
1741724766.033,-1000.000,-1000.000,396.484,-1000.000,0.000
1741724766.037,-1000.000,-1000.000,126.465,-1000.000,0.000
1741724766.041,-925.781,-925.781,34.180,-933.105,0.000
1741724766.045,-1000.000,-1000.000,177.246,-1000.000,0.000
1741724766.049,-519.531,-477.539,397.949,-293.457,0.000
1741724766.053,909.180,933.594,266.602,999.512,0.000
1741724766.056,999.512,999.512,118.164,966.309,0.000
1741724766.060,918.457,922.363,264.648,937.012,0.000
1741724766.064,984.375,984.375,554.199,979.492,0.000
1741724766.068,969.727,970.703,412.109,970.703,0.000
1741724766.072,970.215,970.215,199.707,970.703,0.000
1741724766.076,969.727,970.215,277.832,970.215,0.000
1741724766.080,969.727,970.703,569.336,970.215,0.000
1741724766.084,969.727,970.215,863.281,970.215,0.000
1741724766.088,969.727,970.703,497.559,970.703,0.000
1741724766.092,969.727,970.703,374.023,970.703,0.000
1741724766.096,969.727,970.703,796.875,970.215,0.000
1741724766.099,977.051,972.656,999.512,970.215,0.000
1741724766.103,899.902,905.762,807.617,976.562,0.000
1741724766.107,999.512,999.512,315.430,901.367,0.000
1741724766.111,318.359,219.238,475.586,999.512,0.000
1741724766.115,-1000.000,-1000.000,714.844,304.199,0.000
1741724766.119,-1000.000,-988.770,478.027,-1000.000,0.000
1741724766.123,-962.402,-970.703,293.945,-1000.000,0.000
1741724766.127,-1000.000,-1000.000,133.789,-963.867,0.000
1741724766.131,-1000.000,-1000.000,262.695,-1000.000,0.000
1741724766.135,-1000.000,-1000.000,208.984,-1000.000,0.000
1741724766.138,-1000.000,-1000.000,-96.680,-1000.000,0.000
