timestamps,PPG1,PPG2,PPG3,Secondary Timestamp (Base),Secondary Timestamp (Remainder)
1741750491.949,31907.000,25126.000,38.000,93911.031,0.003
1741750491.949,31897.000,25159.000,68.000,93911.031,0.003
1741750491.949,31887.000,25192.000,20.000,93911.031,0.003
1741750491.949,31909.000,25171.000,38.000,93911.031,0.003
1741750491.949,31905.000,25142.000,36.000,93911.031,0.003
1741750491.949,31930.000,25188.000,38.000,93911.031,0.003
1741750492.039,31907.000,25156.000,37.000,93911.125,-0.000
1741750492.039,31984.000,25156.000,26.000,93911.125,-0.000
1741750492.039,31900.000,25129.000,34.000,93911.125,-0.000
1741750492.039,31906.000,25146.000,27.000,93911.125,-0.000
1741750492.039,31948.000,25142.000,27.000,93911.125,-0.000
1741750492.039,31910.000,25162.000,78.000,93911.125,-0.000
1741750492.144,31885.000,25164.000,26.000,93911.227,0.003
1741750492.144,31872.000,25139.000,34.000,93911.227,0.003
1741750492.144,31913.000,25153.000,79.000,93911.227,0.003
1741750492.144,31897.000,25191.000,31.000,93911.227,0.003
1741750492.144,31914.000,25180.000,31.000,93911.227,0.003
1741750492.144,31894.000,25158.000,45.000,93911.227,0.003
1741750492.233,31910.000,25172.000,34.000,93911.320,-0.002
1741750492.233,31902.000,25156.000,28.000,93911.320,-0.002
1741750492.233,31941.000,25161.000,36.000,93911.320,-0.002
1741750492.233,31915.000,25176.000,28.000,93911.320,-0.002
1741750492.233,31911.000,25175.000,21.000,93911.320,-0.002
1741750492.233,31965.000,25121.000,36.000,93911.320,-0.002
1741750492.323,31884.000,25160.000,82.000,93911.406,0.002
1741750492.323,31971.000,25174.000,35.000,93911.406,0.002
1741750492.323,31946.000,25120.000,29.000,93911.406,0.002
1741750492.323,31901.000,25144.000,33.000,93911.406,0.002
1741750492.323,31872.000,25164.000,35.000,93911.406,0.002
1741750492.323,31908.000,25128.000,54.000,93911.406,0.002
1741750492.413,31839.000,25180.000,34.000,93911.500,-0.002
1741750492.413,31883.000,25217.000,30.000,93911.500,-0.002
1741750492.413,31896.000,25178.000,49.000,93911.500,-0.002
1741750492.413,31857.000,25151.000,40.000,93911.500,-0.001
1741750492.413,31907.000,25182.000,25.000,93911.500,-0.001
1741750492.413,31898.000,25153.000,29.000,93911.500,-0.001
1741750492.518,31929.000,25186.000,19.000,93911.602,0.002
1741750492.518,31898.000,25180.000,33.000,93911.602,0.002
1741750492.518,31992.000,25142.000,37.000,93911.602,0.002
1741750492.518,31906.000,25188.000,26.000,93911.602,0.002
1741750492.518,31902.000,25154.000,58.000,93911.602,0.002
1741750492.518,31973.000,25141.000,24.000,93911.602,0.002
1741750492.608,31923.000,25164.000,61.000,93911.695,-0.001
1741750492.608,31851.000,25152.000,57.000,93911.695,-0.001
1741750492.608,31910.000,25135.000,29.000,93911.695,-0.001
1741750492.608,31899.000,25153.000,49.000,93911.695,-0.001
1741750492.608,31807.000,25160.000,25.000,93911.695,-0.001
1741750492.608,31928.000,25199.000,34.000,93911.695,-0.001
1741750492.699,31918.000,25153.000,30.000,93911.781,0.003
1741750492.699,31855.000,25205.000,29.000,93911.781,0.003
1741750492.699,31912.000,25178.000,27.000,93911.781,0.003
1741750492.699,31956.000,25174.000,34.000,93911.781,0.003
1741750492.699,31912.000,25187.000,31.000,93911.781,0.003
1741750492.699,31906.000,25155.000,24.000,93911.781,0.003
1741750492.789,31917.000,25145.000,51.000,93911.875,-0.001
1741750492.789,31915.000,25072.000,43.000,93911.875,-0.001
1741750492.789,31924.000,25160.000,50.000,93911.875,-0.001
1741750492.789,31919.000,25161.000,45.000,93911.875,-0.000
1741750492.789,31929.000,25157.000,92.000,93911.875,-0.000
1741750492.789,31865.000,25164.000,34.000,93911.875,-0.000
1741750492.894,31907.000,25156.000,27.000,93911.977,0.003
1741750492.894,31897.000,25160.000,90.000,93911.977,0.003
1741750492.894,31807.000,25199.000,35.000,93911.977,0.003
1741750492.894,31903.000,25162.000,46.000,93911.977,0.003
1741750492.894,31845.000,25159.000,45.000,93911.977,0.003
1741750492.894,31906.000,25213.000,30.000,93911.977,0.003
1741750492.984,31900.000,25160.000,27.000,93912.070,-0.001
1741750492.984,31937.000,25176.000,32.000,93912.070,-0.001
1741750492.984,31905.000,25157.000,34.000,93912.070,-0.001
1741750492.984,31921.000,25179.000,32.000,93912.070,-0.001
1741750492.984,31934.000,25126.000,19.000,93912.070,-0.001
1741750492.984,31894.000,25158.000,59.000,93912.070,-0.001
1741750493.074,31891.000,25106.000,53.000,93912.156,0.003
1741750493.074,31903.000,25120.000,30.000,93912.156,0.003
1741750493.074,31897.000,25154.000,99.000,93912.156,0.003
1741750493.074,31910.000,25159.000,45.000,93912.156,0.003
1741750493.074,31903.000,25127.000,80.000,93912.156,0.003
1741750493.074,31837.000,25146.000,55.000,93912.156,0.003
1741750493.163,31931.000,25163.000,31.000,93912.250,-0.002
1741750493.163,31890.000,25149.000,67.000,93912.250,-0.002
1741750493.163,31835.000,25184.000,27.000,93912.250,-0.002
1741750493.163,31898.000,25160.000,32.000,93912.250,-0.002
1741750493.163,31911.000,25151.000,31.000,93912.250,-0.002
1741750493.163,31908.000,25202.000,26.000,93912.250,-0.002
1741750493.269,31928.000,25146.000,33.000,93912.352,0.003
1741750493.269,31959.000,25159.000,30.000,93912.352,0.003
1741750493.269,31932.000,25124.000,37.000,93912.352,0.003
1741750493.269,31902.000,25155.000,41.000,93912.352,0.003
1741750493.269,31974.000,25147.000,45.000,93912.352,0.003
1741750493.269,31906.000,25159.000,60.000,93912.352,0.003
1741750493.359,31891.000,25157.000,29.000,93912.445,-0.001
1741750493.359,31914.000,25138.000,36.000,93912.445,-0.001
1741750493.359,31916.000,25159.000,90.000,93912.445,-0.001
1741750493.359,31916.000,25170.000,35.000,93912.445,-0.001
1741750493.359,31910.000,25192.000,64.000,93912.445,-0.001
1741750493.359,31878.000,25165.000,51.000,93912.445,-0.001
1741750493.448,31871.000,25181.000,36.000,93912.531,0.002
1741750493.448,31900.000,25155.000,41.000,93912.531,0.002
1741750493.448,31924.000,25157.000,33.000,93912.531,0.002
1741750493.448,31929.000,25181.000,31.000,93912.531,0.002
1741750493.448,31899.000,25159.000,22.000,93912.531,0.002
1741750493.448,31936.000,25134.000,34.000,93912.531,0.002
1741750493.538,31882.000,25140.000,21.000,93912.625,-0.001
1741750493.538,31941.000,25155.000,79.000,93912.625,-0.001
1741750493.538,31916.000,25113.000,23.000,93912.625,-0.001
1741750493.538,31908.000,25175.000,58.000,93912.625,-0.001
1741750493.538,31866.000,25152.000,34.000,93912.625,-0.001
1741750493.538,31904.000,25139.000,27.000,93912.625,-0.001
1741750493.644,31898.000,25154.000,37.000,93912.727,0.003
1741750493.644,31864.000,25191.000,41.000,93912.727,0.003
1741750493.644,31901.000,25161.000,71.000,93912.727,0.003
1741750493.644,31830.000,25147.000,33.000,93912.727,0.003
1741750493.644,31904.000,25213.000,27.000,93912.727,0.003
1741750493.644,31907.000,25158.000,29.000,93912.727,0.003
1741750493.734,31902.000,25151.000,23.000,93912.820,-0.001
1741750493.734,31906.000,25168.000,22.000,93912.820,-0.001
1741750493.734,31959.000,25146.000,31.000,93912.820,-0.001
1741750493.734,31918.000,25152.000,31.000,93912.820,-0.001
1741750493.734,31911.000,25149.000,57.000,93912.820,-0.001
1741750493.734,31958.000,25162.000,28.000,93912.820,-0.001
1741750493.824,31905.000,25156.000,48.000,93912.906,0.003
1741750493.824,31904.000,25154.000,75.000,93912.906,0.003
1741750493.824,31871.000,25138.000,56.000,93912.906,0.003
1741750493.824,31848.000,25092.000,110.000,93912.906,0.003
1741750493.824,31805.000,25161.000,32.000,93912.906,0.003
1741750493.824,31909.000,25214.000,34.000,93912.906,0.003
1741750493.913,31909.000,25155.000,47.000,93913.000,-0.001
1741750493.913,31844.000,25189.000,31.000,93913.000,-0.001
1741750493.913,31909.000,25176.000,27.000,93913.000,-0.001
1741750493.913,31893.000,25175.000,27.000,93913.000,-0.001
1741750493.913,31913.000,25163.000,31.000,93913.000,-0.001
1741750493.913,31904.000,25159.000,23.000,93913.000,-0.001
1741750494.003,31902.000,25149.000,55.000,93913.086,0.003
1741750494.003,31910.000,25132.000,35.000,93913.086,0.003
1741750494.003,31898.000,25103.000,43.000,93913.086,0.003
1741750494.003,31919.000,25135.000,34.000,93913.086,0.003
1741750494.003,31906.000,25161.000,114.000,93913.086,0.003
1741750494.003,31866.000,25154.000,67.000,93913.086,0.003
1741750494.109,31914.000,25174.000,46.000,93913.195,-0.001
1741750494.109,31896.000,25162.000,105.000,93913.195,-0.001
1741750494.109,31797.000,25162.000,34.000,93913.195,-0.001
1741750494.109,31901.000,25173.000,48.000,93913.195,-0.001
1741750494.109,31790.000,25152.000,47.000,93913.195,-0.001
1741750494.109,31897.000,25211.000,24.000,93913.195,-0.001
1741750494.199,31870.000,25169.000,37.000,93913.281,0.003
1741750494.199,31940.000,25146.000,31.000,93913.281,0.003
1741750494.199,31904.000,25161.000,24.000,93913.281,0.003
1741750494.199,31917.000,25146.000,30.000,93913.281,0.003
1741750494.199,31913.000,25122.000,25.000,93913.281,0.003
1741750494.199,31906.000,25167.000,73.000,93913.281,0.003
1741750494.289,31956.000,25116.000,30.000,93913.375,-0.001
1741750494.289,31907.000,25124.000,40.000,93913.375,-0.001
1741750494.289,31905.000,25153.000,94.000,93913.375,-0.001
1741750494.289,31911.000,25155.000,32.000,93913.375,-0.001
1741750494.289,31911.000,25139.000,60.000,93913.375,-0.001
1741750494.289,31869.000,25155.000,54.000,93913.375,-0.001
1741750494.394,31885.000,25177.000,52.000,93913.477,0.003
1741750494.394,31907.000,25147.000,70.000,93913.477,0.003
1741750494.394,31845.000,25159.000,31.000,93913.477,0.003
1741750494.394,31910.000,25156.000,28.000,93913.477,0.003
1741750494.394,31905.000,25156.000,24.000,93913.477,0.003
1741750494.394,31915.000,25177.000,35.000,93913.477,0.003
1741750494.484,31915.000,25151.000,27.000,93913.570,-0.001
1741750494.484,31990.000,25156.000,37.000,93913.570,-0.001
1741750494.484,31912.000,25128.000,28.000,93913.570,-0.001
1741750494.484,31903.000,25166.000,31.000,93913.570,-0.001
1741750494.484,31914.000,25094.000,35.000,93913.570,-0.001
1741750494.484,31906.000,25092.000,56.000,93913.570,-0.001
1741750494.574,31851.000,25159.000,30.000,93913.656,0.003
1741750494.574,31907.000,25155.000,34.000,93913.656,0.003
1741750494.574,31904.000,25154.000,99.000,93913.656,0.003
1741750494.574,31850.000,25156.000,42.000,93913.656,0.003
1741750494.574,31910.000,25182.000,56.000,93913.656,0.003
1741750494.574,31897.000,25156.000,59.000,93913.656,0.003
1741750494.664,31913.000,25186.000,34.000,93913.750,-0.001
1741750494.664,31905.000,25181.000,24.000,93913.750,-0.001
1741750494.664,31943.000,25152.000,42.000,93913.750,-0.001
1741750494.664,31906.000,25168.000,36.000,93913.750,-0.001
1741750494.664,31894.000,25159.000,25.000,93913.750,-0.001
1741750494.664,31979.000,25141.000,32.000,93913.750,-0.001
1741750494.769,31929.000,25156.000,35.000,93913.852,0.003
1741750494.769,31904.000,25153.000,56.000,93913.852,0.003
1741750494.769,31924.000,25121.000,35.000,93913.852,0.003
1741750494.769,31907.000,25159.000,76.000,93913.852,0.003
1741750494.769,31861.000,25140.000,31.000,93913.852,0.003
1741750494.769,31902.000,25163.000,39.000,93913.852,0.003
1741750494.859,31907.000,25159.000,59.000,93913.945,-0.001
1741750494.859,31806.000,25183.000,25.000,93913.945,-0.001
1741750494.859,31908.000,25154.000,49.000,93913.945,-0.001
1741750494.859,31824.000,25165.000,31.000,93913.945,-0.001
1741750494.859,31914.000,25186.000,25.000,93913.945,-0.001
1741750494.859,31897.000,25152.000,52.000,93913.945,-0.001
1741750494.949,31922.000,25214.000,28.000,93914.031,0.003
1741750494.949,31905.000,25159.000,31.000,93914.031,0.003
1741750494.949,31926.000,25153.000,29.000,93914.031,0.003
1741750494.949,31906.000,25147.000,37.000,93914.031,0.003
1741750494.949,31907.000,25151.000,54.000,93914.031,0.003
1741750494.949,31941.000,25155.000,33.000,93914.031,0.003
1741750495.039,31900.000,25157.000,44.000,93914.125,-0.001
1741750495.039,31908.000,25153.000,93.000,93914.125,-0.001
1741750495.039,31866.000,25165.000,35.000,93914.125,-0.001
1741750495.039,31909.000,25168.000,77.000,93914.125,-0.001
1741750495.039,31885.000,25158.000,40.000,93914.125,-0.001
1741750495.039,31913.000,25211.000,31.000,93914.125,-0.001
1741750495.143,31895.000,25163.000,27.000,93914.227,0.002
1741750495.143,31839.000,25155.000,36.000,93914.227,0.002
