timestamps,X,Y,Z
1741743548.069,0.329,0.147,-0.939
1741743548.144,0.326,0.143,-0.943
1741743548.144,0.330,0.147,-0.944
1741743548.144,0.334,0.148,-0.941
1741743548.191,0.330,0.143,-0.940
1741743548.191,0.332,0.143,-0.943
1741743548.191,0.332,0.146,-0.942
1741743548.249,0.332,0.144,-0.940
1741743548.249,0.334,0.144,-0.940
1741743548.249,0.328,0.149,-0.940
1741743548.297,0.328,0.144,-0.940
1741743548.297,0.328,0.145,-0.942
1741743548.297,0.333,0.147,-0.941
1741743548.354,0.334,0.146,-0.943
1741743548.354,0.330,0.146,-0.939
1741743548.354,0.329,0.146,-0.940
1741743548.414,0.332,0.149,-0.944
1741743548.414,0.331,0.145,-0.940
1741743548.414,0.330,0.149,-0.944
1741743548.474,0.335,0.144,-0.941
1741743548.474,0.327,0.148,-0.941
1741743548.474,0.330,0.148,-0.943
1741743548.519,0.330,0.150,-0.939
1741743548.519,0.328,0.148,-0.937
1741743548.519,0.331,0.147,-0.939
1741743548.582,0.332,0.143,-0.939
1741743548.582,0.332,0.148,-0.941
1741743548.582,0.331,0.143,-0.942
1741743548.639,0.329,0.147,-0.938
1741743548.639,0.331,0.149,-0.943
1741743548.639,0.328,0.151,-0.942
1741743548.714,0.334,0.149,-0.945
1741743548.714,0.330,0.147,-0.943
1741743548.714,0.334,0.150,-0.940
1741743548.744,0.331,0.145,-0.941
1741743548.744,0.330,0.146,-0.938
1741743548.744,0.328,0.145,-0.944
1741743548.808,0.333,0.146,-0.943
1741743548.808,0.334,0.146,-0.941
1741743548.808,0.332,0.145,-0.940
1741743548.866,0.336,0.144,-0.941
1741743548.866,0.331,0.145,-0.937
1741743548.866,0.331,0.146,-0.942
1741743548.925,0.335,0.148,-0.945
1741743548.925,0.332,0.147,-0.939
1741743548.925,0.335,0.147,-0.942
1741743548.969,0.331,0.148,-0.945
1741743548.969,0.332,0.145,-0.942
1741743548.969,0.333,0.147,-0.943
1741743549.029,0.327,0.151,-0.939
1741743549.029,0.332,0.147,-0.941
1741743549.029,0.336,0.147,-0.943
1741743549.106,0.330,0.144,-0.941
1741743549.106,0.327,0.149,-0.937
1741743549.106,0.331,0.149,-0.943
1741743549.149,0.332,0.148,-0.943
1741743549.149,0.331,0.148,-0.940
1741743549.149,0.329,0.153,-0.941
1741743549.194,0.331,0.145,-0.944
1741743549.194,0.330,0.149,-0.937
1741743549.194,0.331,0.145,-0.942
1741743549.254,0.330,0.147,-0.943
1741743549.254,0.331,0.146,-0.941
1741743549.254,0.330,0.147,-0.937
1741743549.314,0.331,0.140,-0.945
1741743549.314,0.335,0.149,-0.943
1741743549.314,0.331,0.150,-0.941
1741743549.377,0.332,0.144,-0.938
1741743549.377,0.333,0.145,-0.938
1741743549.377,0.294,0.143,-0.854
1741743549.422,0.389,0.159,-1.050
1741743549.422,0.260,0.190,-0.919
1741743549.422,0.334,0.148,-0.925
1741743549.479,0.289,0.150,-0.899
1741743549.479,0.366,0.147,-0.911
1741743549.479,0.321,0.170,-0.969
1741743549.540,0.317,0.163,-0.937
1741743549.540,0.329,0.150,-0.930
1741743549.540,0.331,0.141,-0.954
1741743549.599,0.334,0.155,-0.939
1741743549.599,0.339,0.139,-0.946
1741743549.599,0.348,0.135,-0.932
1741743549.658,0.334,0.149,-0.936
1741743549.658,0.322,0.164,-0.954
1741743549.658,0.339,0.142,-0.942
1741743549.707,0.341,0.132,-0.933
1741743549.707,0.333,0.141,-0.939
1741743549.707,0.324,0.155,-0.950
1741743549.765,0.330,0.147,-0.946
1741743549.765,0.333,0.147,-0.930
1741743549.765,0.331,0.147,-0.945
1741743549.824,0.335,0.148,-0.944
1741743549.824,0.337,0.142,-0.937
1741743549.824,0.333,0.144,-0.942
1741743549.884,0.332,0.149,-0.943
1741743549.884,0.330,0.149,-0.944
1741743549.884,0.337,0.144,-0.936
1741743549.935,0.336,0.138,-0.935
1741743549.935,0.334,0.146,-0.943
1741743549.935,0.331,0.150,-0.948
1741743549.990,0.335,0.147,-0.943
1741743549.990,0.331,0.148,-0.938
1741743549.990,0.331,0.150,-0.946
1741743550.049,0.334,0.145,-0.941
1741743550.049,0.336,0.146,-0.939
1741743550.049,0.331,0.148,-0.938
1741743550.109,0.332,0.146,-0.941
1741743550.169,0.332,0.147,-0.938
1741743550.169,0.330,0.148,-0.944
1741743550.169,0.336,0.150,-0.943
1741743550.218,0.337,0.146,-0.939
1741743550.218,0.331,0.145,-0.938
1741743550.218,0.334,0.146,-0.945
1741743550.275,0.332,0.146,-0.942
1741743550.275,0.331,0.147,-0.939
1741743550.275,0.333,0.149,-0.941
1741743550.334,0.335,0.144,-0.939
1741743550.334,0.336,0.150,-0.938
1741743550.334,0.333,0.142,-0.939
1741743550.393,0.333,0.145,-0.943
1741743550.393,0.328,0.148,-0.946
1741743550.393,0.335,0.148,-0.941
1741743550.440,0.336,0.144,-0.939
1741743550.440,0.330,0.142,-0.938
1741743550.440,0.335,0.146,-0.945
1741743550.504,0.337,0.147,-0.941
1741743550.504,0.334,0.145,-0.942
1741743550.504,0.332,0.152,-0.942
1741743550.560,0.332,0.147,-0.940
1741743550.560,0.331,0.143,-0.940
1741743550.560,0.330,0.147,-0.938
1741743550.619,0.330,0.143,-0.942
1741743550.619,0.336,0.142,-0.941
1741743550.619,0.333,0.146,-0.939
1741743550.664,0.331,0.146,-0.940
1741743550.664,0.332,0.142,-0.943
1741743550.664,0.332,0.148,-0.938
1741743550.724,0.333,0.145,-0.940
1741743550.724,0.335,0.146,-0.940
1741743550.724,0.331,0.146,-0.943
1741743550.783,0.333,0.147,-0.944
1741743550.783,0.331,0.146,-0.945
1741743550.783,0.333,0.146,-0.941
1741743550.844,0.334,0.146,-0.942
1741743550.844,0.335,0.147,-0.943
1741743550.844,0.333,0.146,-0.937
1741743550.889,0.335,0.145,-0.942
1741743550.889,0.328,0.145,-0.938
1741743550.889,0.333,0.146,-0.940
1741743550.950,0.334,0.144,-0.945
1741743550.950,0.335,0.144,-0.942
1741743550.950,0.332,0.146,-0.941
1741743551.009,0.334,0.148,-0.942
1741743551.009,0.335,0.147,-0.939
1741743551.009,0.331,0.146,-0.945
1741743551.069,0.333,0.146,-0.942
1741743551.069,0.334,0.145,-0.944
1741743551.069,0.332,0.149,-0.938
1741743551.116,0.334,0.142,-0.940
1741743551.116,0.335,0.145,-0.935
1741743551.116,0.329,0.144,-0.940
1741743551.174,0.335,0.147,-0.943
1741743551.174,0.335,0.147,-0.941
1741743551.174,0.336,0.144,-0.943
1741743551.235,0.335,0.143,-0.942
1741743551.235,0.336,0.146,-0.943
1741743551.235,0.330,0.147,-0.941
1741743551.297,0.332,0.140,-0.943
1741743551.297,0.340,0.146,-0.941
1741743551.297,0.332,0.145,-0.939
1741743551.343,0.333,0.143,-0.945
1741743551.343,0.328,0.148,-0.936
