timestamps,X,Y,Z
1741735482.357,-0.156,0.021,-0.981
1741735482.417,-0.157,0.021,-0.974
1741735482.417,-0.161,0.020,-0.977
1741735482.417,-0.159,0.024,-0.978
1741735482.477,-0.158,0.018,-0.973
1741735482.477,-0.158,0.022,-0.983
1741735482.477,-0.159,0.019,-0.975
1741735482.537,-0.160,0.020,-0.979
1741735482.537,-0.158,0.020,-0.980
1741735482.537,-0.159,0.019,-0.980
1741735482.583,-0.160,0.021,-0.978
1741735482.583,-0.158,0.018,-0.979
1741735482.583,-0.158,0.017,-0.980
1741735482.645,-0.157,0.019,-0.980
1741735482.645,-0.160,0.019,-0.980
1741735482.645,-0.159,0.017,-0.979
1741735482.703,-0.160,0.018,-0.983
1741735482.703,-0.157,0.020,-0.976
1741735482.703,-0.158,0.022,-0.977
1741735482.763,-0.160,0.018,-0.979
1741735482.763,-0.159,0.021,-0.981
1741735482.763,-0.156,0.018,-0.979
1741735482.825,-0.157,0.017,-0.981
1741735482.825,-0.157,0.016,-0.978
1741735482.825,-0.156,0.019,-0.980
1741735482.868,-0.156,0.019,-0.976
1741735482.868,-0.159,0.021,-0.982
1741735482.868,-0.155,0.022,-0.978
1741735482.928,-0.155,0.018,-0.976
1741735482.928,-0.159,0.019,-0.978
1741735482.928,-0.156,0.016,-0.981
1741735482.987,-0.155,0.020,-0.978
1741735482.987,-0.158,0.020,-0.975
1741735482.987,-0.159,0.018,-0.977
1741735483.033,-0.157,0.018,-0.980
1741735483.033,-0.157,0.019,-0.978
1741735483.033,-0.155,0.021,-0.978
1741735483.096,-0.158,0.022,-0.981
1741735483.096,-0.157,0.023,-0.977
1741735483.096,-0.158,0.021,-0.978
1741735483.153,-0.158,0.017,-0.980
1741735483.153,-0.160,0.015,-0.978
1741735483.153,-0.161,0.018,-0.980
1741735483.212,-0.158,0.019,-0.976
1741735483.212,-0.159,0.020,-0.979
1741735483.212,-0.155,0.019,-0.974
1741735483.258,-0.156,0.017,-0.978
1741735483.258,-0.161,0.016,-0.979
1741735483.258,-0.157,0.016,-0.977
1741735483.317,-0.154,0.018,-0.979
1741735483.317,-0.158,0.023,-0.980
1741735483.317,-0.158,0.018,-0.977
1741735483.381,-0.157,0.016,-0.974
1741735483.381,-0.159,0.021,-0.978
1741735483.381,-0.158,0.017,-0.977
1741735483.426,-0.159,0.017,-0.979
1741735483.426,-0.157,0.019,-0.975
1741735483.426,-0.157,0.021,-0.979
1741735483.482,-0.159,0.018,-0.978
1741735483.482,-0.156,0.021,-0.979
1741735483.482,-0.158,0.020,-0.977
1741735483.542,-0.155,0.019,-0.980
1741735483.542,-0.157,0.016,-0.980
1741735483.542,-0.158,0.019,-0.979
1741735483.602,-0.160,0.018,-0.980
1741735483.602,-0.156,0.024,-0.981
1741735483.602,-0.158,0.019,-0.977
1741735483.662,-0.160,0.020,-0.979
1741735483.662,-0.157,0.020,-0.979
1741735483.662,-0.155,0.020,-0.976
1741735483.707,-0.159,0.019,-0.978
1741735483.707,-0.158,0.021,-0.978
1741735483.707,-0.158,0.020,-0.975
1741735483.768,-0.159,0.018,-0.979
1741735483.768,-0.158,0.019,-0.978
1741735483.768,-0.159,0.020,-0.978
1741735483.827,-0.156,0.024,-0.979
1741735483.827,-0.159,0.021,-0.977
1741735483.827,-0.161,0.021,-0.978
1741735483.889,-0.156,0.022,-0.980
1741735483.889,-0.156,0.000,-0.979
1741735483.889,-0.154,0.020,-0.976
1741735483.935,-0.156,0.021,-0.979
1741735483.935,-0.159,0.016,-0.977
1741735483.935,-0.155,0.022,-0.978
1741735483.995,-0.156,0.020,-0.980
1741735483.995,-0.157,0.020,-0.976
1741735483.995,-0.158,0.023,-0.978
1741735484.053,-0.158,0.021,-0.980
1741735484.053,-0.161,0.019,-0.980
1741735484.053,-0.162,0.020,-0.977
1741735484.112,-0.162,0.023,-0.977
1741735484.112,-0.156,0.017,-0.981
1741735484.112,-0.156,0.020,-0.979
1741735484.188,-0.154,0.020,-0.980
1741735484.188,-0.159,0.022,-0.979
1741735484.188,-0.160,0.020,-0.977
1741735484.236,-0.157,0.023,-0.981
1741735484.236,-0.160,0.023,-0.982
1741735484.236,-0.159,0.019,-0.977
1741735484.279,-0.156,0.024,-0.975
1741735484.279,-0.156,0.018,-0.979
1741735484.279,-0.158,0.022,-0.980
1741735484.337,-0.157,0.020,-0.975
1741735484.337,-0.158,0.023,-0.981
1741735484.337,-0.160,0.021,-0.980
1741735484.398,-0.159,0.018,-0.977
1741735484.398,-0.157,0.016,-0.975
1741735484.398,-0.161,0.022,-0.978
1741735484.457,-0.156,0.019,-0.977
1741735484.457,-0.158,0.022,-0.980
1741735484.457,-0.157,0.016,-0.979
1741735484.506,-0.160,0.021,-0.982
1741735484.506,-0.159,0.020,-0.980
1741735484.506,-0.157,0.020,-0.976
1741735484.565,-0.162,0.017,-0.977
1741735484.565,-0.159,0.022,-0.980
1741735484.565,-0.160,0.021,-0.979
1741735484.623,-0.160,0.021,-0.978
1741735484.623,-0.162,0.016,-0.977
1741735484.623,-0.156,0.021,-0.978
1741735484.667,-0.156,0.022,-0.982
1741735484.667,-0.157,0.018,-0.979
1741735484.667,-0.159,0.022,-0.977
1741735484.745,-0.157,0.018,-0.978
1741735484.745,-0.155,0.016,-0.976
1741735484.745,-0.158,0.019,-0.976
1741735484.791,-0.153,0.022,-0.980
1741735484.791,-0.155,0.019,-0.977
1741735484.791,-0.158,0.019,-0.973
1741735484.848,-0.156,0.021,-0.979
1741735484.848,-0.160,0.023,-0.976
1741735484.848,-0.156,0.018,-0.979
1741735484.908,-0.156,0.015,-0.982
